"genus","class_itis","family_itis","genus_itis","kingdom_itis","order_itis","phylum_itis","subkingdom_itis","class_tsn","family_tsn","genus_tsn","kingdom_tsn","order_tsn","phylum_tsn","subkingdom_tsn","species_itis","species_tsn","division_itis","division_tsn","infrakingdom_itis","subdivision_itis","infrakingdom_tsn","subdivision_tsn","subclass_itis","superdivision_itis","subclass_tsn","superdivision_tsn","variety_itis","variety_tsn","suborder_itis","subphylum_itis","suborder_tsn","subphylum_tsn","infraclass_itis","subfamily_itis","superfamily_itis","superorder_itis","superphylum_itis","infraclass_tsn","subfamily_tsn","superfamily_tsn","superorder_tsn","superphylum_tsn"
"Cyanogranis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chroomonas","Cryptophyceae","Cryptomonadaceae","Chroomonas","Chromista","Cryptomonadales",NA,"Chromista","10598","10609","10613","630578","10599",NA,"590735",NA,NA,"Cryptophycophyta","10597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptomonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cryptomonas lenticularis","5621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Komma","Chlorophyceae","Chlamydomonadaceae","Chlamydomonas","Plantae","Chlamydomonadales",NA,"Viridiplantae","5415","5423","5448","202422","954926",NA,"954898","Chlamydomonas komma","5459","Chlorophyta","5414","Chlorophyta","Chlorophytina","846493","846499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plagioselmis","Cryptophyceae","Cryptomonadaceae","Plagioselmis","Chromista","Cryptomonadales",NA,"Chromista","10598","10609","10672","630578","10599",NA,"590735",NA,NA,"Cryptophycophyta","10597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhodomonas","Cryptophyceae","Cryptomonadaceae","Rhodomonas","Chromista","Cryptomonadales",NA,"Chromista","10598","10609","10663","630578","10599",NA,"590735",NA,NA,"Cryptophycophyta","10597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aulacoseira","Bacillariophyceae",NA,NA,"Chromista","Aulacoseirales",NA,"Harosa","2287",NA,NA,"630578","590754",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Coscinodiscophycidae","Heterokonta","969922","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaetoceros","Bacillariophyceae","Chaetocerotaceae","Chaetoceros","Chromista","Chaetocerotales",NA,"Harosa","2287","572759","2758","630578","590748",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Coscinodiscophycidae","Heterokonta","969922","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinocyclus","Bacillariophyceae","Rhopalodiaceae","Rhopalodia","Chromista","Rhopalodiales",NA,"Harosa","2287","590778","5024","630578","590742",NA,"969910","Pyxidicula actinocyclus","2355","Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melosira","Bacillariophyceae","Melosiraceae",NA,"Chromista","Melosirales",NA,"Harosa","2287","2289",NA,"630578","590738",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Coscinodiscophycidae","Heterokonta","969922","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhizosolenia","Bacillariophyceae","Rhizosoleniaceae",NA,"Chromista","Rhizosoleniales",NA,"Harosa","2287","2878",NA,"630578","590741",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Coscinodiscophycidae","Heterokonta","969922","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclotella","Bacillariophyceae","Stephanodiscaceae","Cyclotella","Chromista","Thalassiosirales",NA,"Harosa","2287","590782","2439","630578","590745",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Coscinodiscophycidae","Heterokonta","969922","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puncticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Littorina puncticulata","70460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephanodiscus","Bacillariophyceae","Stephanodiscaceae","Stephanodiscus","Chromista","Thalassiosirales",NA,"Harosa","2287","590782","2415","630578","590745",NA,"969910","Stephanodiscus binderanus","2329","Ochrophyta","969917","Halvaria",NA,"969912",NA,"Coscinodiscophycidae","Heterokonta","969922","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achnanthes","Bacillariophyceae","Achnanthaceae","Achnanthes","Chromista","Achnanthales",NA,"Harosa","2287","3428","3429","630578","590746",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cocconeis","Bacillariophyceae","Cocconeidaceae","Cocconeis","Chromista","Achnanthales",NA,"Harosa","2287","590788","3577","630578","590746",NA,"969910",NA,NA,"Ochrophyta","969917","Halvaria",NA,"969912",NA,"Bacillariophycidae","Heterokonta","969921","969914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
